Pcd,Lat,Long,Duration,Old Or New,Prd Category Type,Property Type,Price
BR53BG,51.40825,0.106688,L,N,A,F,210000
BR53DF,51.404537,0.107581,F,N,B,S,350000
BR53DX,51.413263,0.103927,F,N,A,T,395000
BR53DX,51.413263,0.103927,F,N,A,S,395000
BR53DY,51.413966,0.10534,F,N,B,S,450000
BR53EJ,51.396647,0.113745,F,N,A,T,290000
BR53FA,51.406997,0.110309,F,N,A,T,425000
BR53FN,51.39272,0.115591,L,N,A,F,275000
BR53FP,51.393188,0.116101,L,N,A,F,87500
BR53HA,51.397508,0.11492,L,N,B,F,255000
BR53HE,51.400403,0.116434,F,N,A,S,345000
BR53JN,51.399618,0.120567,F,N,A,S,417500
BR53QW,51.393256,0.108342,F,N,B,O,4000000
BR53QY,51.398094,0.109842,F,N,B,O,1450000
BR54BX,51.387805,0.121832,F,N,A,S,330000
BR54DQ,51.383152,0.115581,F,N,A,T,320000
BR54DT,51.385036,0.11584,F,N,A,D,620000
BR54DT,51.385036,0.11584,F,N,A,D,510000
BR54EW,51.391524,0.115608,L,N,B,F,220000
BR54GA,51.375666,0.118785,F,N,A,T,350000
BR54HY,51.382418,0.121842,F,N,A,S,370000
BR54JE,51.382414,0.113118,F,N,A,T,425000
BR54JH,51.383701,0.11253,F,N,A,S,370000
BR54JP,51.381162,0.112198,L,N,A,F,205000
BR54JU,51.380521,0.111364,F,N,A,T,370000
BR54JZ,51.379386,0.109989,F,N,A,S,360000
BR54LF,51.374892,0.112312,F,N,A,D,710000
BR54NZ,51.376568,0.119602,F,N,A,S,360000
BR60AE,51.37438,0.091726,F,N,A,D,1010000
BR60BX,51.379916,0.084391,F,N,A,D,590000
BR60DF,51.380764,0.102364,F,N,A,T,365000
BR60EY,51.380671,0.0995,F,N,A,T,376500
BR60FG,,,L,Y,A,F,390000
BR60FG,,,L,Y,A,F,400000
BR60FG,,,L,Y,A,F,350000
BR60FG,,,L,Y,A,F,395000
BR60HJ,51.379381,0.103752,F,N,A,T,420000
BR60HP,51.382983,0.100957,F,N,A,S,430000
BR60HU,51.383126,0.102544,F,N,A,S,645000
BR60LA,51.381003,0.104042,L,N,A,F,260000
BR60LZ,51.375931,0.099068,L,N,B,O,30000
BR60RX,51.375106,0.095898,F,N,A,D,815000
BR60SD,51.372625,0.093342,L,N,A,F,199000
BR60TS,51.381682,0.089746,F,N,A,T,375000
BR60UR,51.384726,0.102575,L,N,A,F,225000
BR60XA,51.380451,0.095237,F,N,A,D,555000
BR66DH,51.351873,0.096115,F,N,A,T,665000
BR66EB,51.352008,0.098161,F,N,A,S,520000
BR66EE,51.354039,0.102203,F,N,A,S,587500
BR66EX,51.35855,0.104421,F,N,A,S,470000
BR66HJ,51.355337,0.105595,F,N,A,S,692500
BR66HZ,51.359074,0.098268,F,N,A,D,760000
BR67AF,51.363375,0.062193,F,N,A,S,480000
BR67AF,51.363375,0.062193,F,N,A,S,495000
BR67AH,51.362634,0.060364,L,N,A,F,280000
BR67AS,51.361332,0.064313,L,N,A,F,260000
BR67BN,51.361351,0.063236,F,N,A,T,555000
BR67EB,51.361573,0.073589,F,N,A,T,360000
BR67EB,51.361573,0.073589,F,N,A,T,330000
BR67FE,51.373553,0.123716,F,N,A,T,355000
BR67HL,51.339981,0.056777,F,N,A,D,470000
BR67HN,51.340428,0.057932,F,N,A,T,345000
BR67JE,51.343031,0.051141,F,N,A,T,670000
BR67LL,51.360124,0.075678,L,N,A,F,240000
BR67LZ,51.343969,0.111593,L,N,B,F,246000
BR67RZ,51.368651,0.121751,F,N,A,D,1050000
BR67TL,51.362919,0.066137,F,N,A,D,605000
BR68BD,51.374861,0.079362,F,N,A,S,525000
BR68BL,51.37767,0.082723,F,N,A,T,415000
BR68BN,51.376618,0.084241,F,N,A,S,366000
BR68BU,51.374905,0.084508,F,N,A,S,603000
BR68BW,51.376172,0.083531,F,N,A,S,495000
BR68BZ,51.376909,0.078492,F,N,A,T,390000
BR68DJ,51.376913,0.081323,F,N,A,T,365000
BR68DJ,51.376913,0.081323,L,N,A,T,365000
BR68DN,51.377081,0.078917,F,N,B,O,405000
BR68DN,51.377081,0.078917,L,N,B,O,405000
BR68DN,51.377081,0.078917,L,N,B,O,405000
BR68DT,51.379354,0.082627,F,N,A,T,427000
BR68ED,51.372111,0.075229,F,N,A,S,631500
BR68HN,51.371164,0.069281,F,N,A,D,690000
BR68JW,51.375419,0.066628,F,N,A,D,699500
BR68JW,51.375419,0.066628,F,N,A,D,850000
BR68LA,51.373303,0.064765,F,N,A,D,670000
BR68PR,51.374627,0.085961,L,N,A,F,195000
BR69AW,51.371007,0.09982,F,N,A,S,795000
BR69AZ,51.37037,0.11525,F,N,A,S,456000
BR69BJ,51.37174,0.11458,F,N,A,S,475000
BR69BX,51.361655,0.115768,F,N,A,D,610000
BR69DL,51.362587,0.111487,F,N,A,S,482500
BR69DS,51.368458,0.099531,F,N,A,D,1151000
BR69DW,51.358107,0.107561,F,N,A,S,525000
BR69EE,51.367742,0.107356,F,N,A,S,745000
BR69EH,51.36988,0.099481,F,N,A,S,695000
BR69HT,51.364126,0.098873,F,N,A,S,574000
BR69JF,51.360242,0.10684,F,N,A,T,463000
BR69JG,51.359944,0.107903,F,N,A,S,520000
BR69JL,51.370119,0.096202,L,N,A,F,250000
BR69NJ,51.35978,0.083922,F,N,A,S,390000
BR69NT,51.361153,0.080523,F,N,A,S,415000
BR69QW,51.366862,0.08772,F,N,A,S,532500
BR69RN,51.369078,0.079919,F,N,A,S,602500
BR69RR,51.369453,0.083111,F,N,B,S,415000
BR69TD,51.369179,0.084363,F,N,A,T,575200
BR69TH,51.369649,0.111323,F,N,A,T,385000
BR69TT,51.368621,0.091464,F,N,A,S,472500
BR69XH,51.364917,0.093895,F,N,A,T,450000
BR75DL,51.419584,0.051763,F,N,A,S,656500
BR75DP,51.417446,0.05624,F,N,A,S,860000
BR75DX,51.419267,0.048814,F,N,A,D,915000
BR75FR,51.420091,0.053641,L,N,A,F,318500
BR75FR,51.420091,0.053641,F,N,A,T,520000
BR75JA,51.410766,0.052576,F,N,A,S,797500
BR75JD,51.410337,0.052384,L,N,A,F,362000
BR75JJ,51.411787,0.051744,F,N,A,D,900000
BR75JQ,51.412239,0.053188,L,N,A,F,365000
BR75LB,51.407156,0.052759,F,N,A,D,2000000
BR75LS,51.411739,0.047831,F,N,A,T,1261000
BR75LY,51.40909,0.062491,F,N,A,T,575000
BR75LZ,51.408769,0.060783,L,N,A,F,550000
BR75NT,51.406373,0.058979,L,N,A,T,1500000
BR75PL,51.408408,0.072055,F,N,A,T,570000
BR75RP,51.405603,0.060842,F,N,A,D,890000
BR76BB,51.420227,0.067901,F,N,A,T,414000
BR76BB,51.420227,0.067901,F,N,A,T,475000
BR76BY,51.421819,0.07141,F,N,A,S,525000
BR76DR,51.424756,0.062941,F,N,A,S,495000
BR76DX,51.424125,0.060482,F,N,A,S,630000
BR76EB,51.42189,0.055663,F,N,B,O,2977500
BR76EP,51.424107,0.054871,F,N,A,S,630000
BR76EQ,51.423417,0.055243,F,N,A,S,575000
BR76HN,51.421548,0.065889,F,N,A,T,490000
BR76HP,51.420992,0.065792,F,N,A,T,490000
BR76JE,51.423203,0.06231,F,N,A,T,530000
BR76JG,51.42429,0.063869,F,N,A,T,565000
BR76JH,51.423468,0.064609,F,N,A,T,650000
BR76JW,51.425451,0.068453,F,N,A,S,535550
BR76LF,51.412426,0.075731,L,N,A,F,330000
BR76LG,51.415378,0.07969,F,N,A,D,830000
BR76LX,51.4196,0.076358,L,N,A,F,307000
BR76NR,51.411588,0.075348,F,N,B,O,400000
BR76QJ,51.398982,0.095436,F,N,A,D,1210000
BR76RJ,51.39664,0.092641,F,N,A,D,575000
BR76RU,51.419152,0.075274,F,N,A,D,1147500
BR88EP,51.38429,0.145455,F,N,A,D,730000
CR00BS,51.338231,-0.007435,F,N,A,S,345000
CR00DS,51.335645,-0.010864,F,N,A,T,327000
CR00EU,51.340405,-0.006264,L,N,A,F,246000
CR00EZ,51.341408,-0.008633,F,N,A,S,345500
CR00HB,51.346473,-0.0114,F,N,B,S,355000
CR00HR,51.345953,-0.009369,F,N,B,S,275000
CR00JQ,51.342503,-0.012735,F,N,B,S,270000
CR00PE,51.347036,-0.017536,F,N,A,S,300000
CR00PR,51.351517,-0.011325,F,N,A,T,365000
CR00QE,51.350994,-0.021343,F,N,B,S,330000
