Pcd,Lat,Long,Duration,num_Dur,Old_Or_New,num_Old,Prd_Category_Type,num_Prd,Property_Type,num_Pro,dis_station,station_dis,station_Lat,station_Lng,dis_airport,air_dis,air_Lat,air_Lng,Price
BR40BQ,51.382403,-0.002614,F,2,N,2,A,1,S,1.5,11.627,1,51.47,?-0.0942,28.496,0,51.1536621,0.182062,616000
BR40DU,51.38337,0.001294,F,2,N,2,A,1,T,1.5,11.689,1,51.47,?-0.0942,28.471,0,51.1536621,0.182062,505000
BR40ES,51.384731,-0.002585,F,2,N,2,A,1,S,1.5,11.412,1,51.47,?-0.0942,28.726,0,51.1536621,0.182062,607000
BR40JW,51.378022,-0.017347,F,2,N,2,A,1,S,1.5,11.532,1,51.47,?-0.0942,28.546,0,51.1536621,0.182062,688000
BR40JW,51.378022,-0.017347,F,2,N,2,A,1,S,1.5,11.532,1,51.47,?-0.0942,28.546,0,51.1536621,0.182062,675000
BR40LG,51.378746,-0.024573,F,2,N,2,A,1,S,1.5,11.237,1,51.47,?-0.0942,28.863,0,51.1536621,0.182062,716750
BR40NF,51.376809,-0.018995,F,2,N,2,B,2.5,O,7,11.6,1,51.47,?-0.0942,28.484,0,51.1536621,0.182062,6955000
BR40NJ,51.37614,-0.01615,F,2,N,2,B,2.5,O,7,11.756,1,51.47,?-0.0942,28.323,0,51.1536621,0.182062,530000
BR40QT,51.381274,-0.016071,F,2,N,2,A,1,D,2,11.255,1,51.47,?-0.0942,28.82,0,51.1536621,0.182062,1125000
BR40QY,51.381593,-0.023243,F,2,N,2,A,1,T,1.5,10.993,1,51.47,?-0.0942,29.093,0,51.1536621,0.182062,495000
BR49AD,51.373716,-0.004228,F,2,N,2,A,1,D,2,12.391,1,51.47,?-0.0942,27.69,0,51.1536621,0.182062,435000
BR49AF,51.374375,-0.004357,F,2,N,2,A,1,S,1.5,12.324,1,51.47,?-0.0942,27.759,0,51.1536621,0.182062,225670
BR49AS,51.376425,-0.000647,F,2,N,2,A,1,S,1.5,12.261,1,51.47,?-0.0942,27.842,0,51.1536621,0.182062,675000
BR49BG,51.369081,-0.00397,F,2,N,2,A,1,S,1.5,12.848,1,51.47,?-0.0942,27.227,0,51.1536621,0.182062,495000
BR49BQ,51.369653,-0.00429,F,2,N,2,A,1,S,1.5,12.782,1,51.47,?-0.0942,27.294,0,51.1536621,0.182062,650000
BR49BX,51.371999,0.002608,F,2,N,2,A,1,S,1.5,12.799,1,51.47,?-0.0942,27.301,0,51.1536621,0.182062,810000
BR49DU,51.365394,0.009129,F,2,N,2,A,1,S,1.5,13.662,1,51.47,?-0.0942,26.441,0,51.1536621,0.182062,590000
BR49EA,51.362984,0.010173,F,2,N,2,A,1,S,1.5,13.928,1,51.47,?-0.0942,26.169,0,51.1536621,0.182062,500000
BR49ED,51.364077,0.007262,F,2,N,2,A,1,F,1,13.72,1,51.47,?-0.0942,26.37,0,51.1536621,0.182062,660000
BR49EX,51.363287,0.001409,F,2,N,2,A,1,T,1.5,13.593,1,51.47,?-0.0942,26.483,0,51.1536621,0.182062,585000
BR49LY,51.369745,-0.011872,F,2,N,2,A,1,D,2,12.525,1,51.47,?-0.0942,27.557,0,51.1536621,0.182062,737500
BR49LZ,51.369879,-0.01336,F,2,N,2,A,1,D,2,12.465,1,51.47,?-0.0942,27.621,0,51.1536621,0.182062,925000
BR49NX,51.374499,-0.02227,F,2,N,2,A,1,S,1.5,11.732,1,51.47,?-0.0942,28.375,0,51.1536621,0.182062,670000
BR49PG,51.375586,-0.024867,F,2,N,2,A,1,D,2,11.547,1,51.47,?-0.0942,28.57,0,51.1536621,0.182062,615000
BR49QH,51.374684,0.000743,F,2,N,2,A,1,D,2,12.477,1,51.47,?-0.0942,27.625,0,51.1536621,0.182062,900000
BR49QR,51.374734,0.00359,F,2,N,2,A,1,D,2,12.577,1,51.47,?-0.0942,27.54,0,51.1536621,0.182062,1250000
BR51AD,51.384708,0.064143,F,2,N,2,A,1,S,1.5,14.507,1,51.47,?-0.0942,26.969,0,51.1536621,0.182062,450000
BR51AQ,51.383933,0.063203,F,2,N,2,A,1,T,1.5,14.515,1,51.47,?-0.0942,26.907,0,51.1536621,0.182062,560000
BR51BD,51.386139,0.072227,F,2,N,2,A,1,S,1.5,14.835,1,51.47,?-0.0942,26.956,0,51.1536621,0.182062,552000
BR51BW,51.389125,0.06966,F,2,N,2,A,1,S,1.5,14.489,1,51.47,?-0.0942,27.325,0,51.1536621,0.182062,745000
BR51BX,51.389607,0.067325,F,2,N,2,A,1,S,1.5,14.329,1,51.47,?-0.0942,27.423,0,51.1536621,0.182062,637500
BR51BY,51.390722,0.069373,F,2,N,2,A,1,S,1.5,14.363,1,51.47,?-0.0942,27.501,0,51.1536621,0.182062,525000
BR51BZ,51.39037,0.069429,F,2,N,2,A,1,S,1.5,14.39,1,51.47,?-0.0942,27.462,0,51.1536621,0.182062,574000
BR51DJ,51.383661,0.076053,F,2,N,2,A,1,S,1.5,15.215,0,51.47,?-0.0942,26.617,0,51.1536621,0.182062,602000
BR51DY,51.385279,0.07456,L,1,N,2,A,1,F,1,15.021,0,51.47,?-0.0942,26.819,0,51.1536621,0.182062,302000
BR51GA,51.382743,0.085195,F,2,N,2,A,1,T,1.5,15.775,0,51.47,?-0.0942,26.349,0,51.1536621,0.182062,595000
BR51HJ,51.376611,0.076553,F,2,N,2,A,1,S,1.5,15.748,0,51.47,?-0.0942,25.855,0,51.1536621,0.182062,700000
