pcd,price,lng,lat
BR35PA,150000,-0.010963,51.406942
BR35PB,388333.33,-0.008126,51.407056
BR35UE,400000,-0.020097,51.408869
BR35UF,365000,-0.021358,51.410293
BR35XA,245000,-0.010166,51.408422
BR35XB,310000,-0.019124,51.412413
BR35XE,253500,-0.011071,51.409102
BR35XG,395000,-0.020602,51.40948
BR35XL,350000,-0.00815,51.408819
BR35XP,280000,-0.009754,51.408963
BR35XQ,305000,-0.013261,51.409328
BR35XS,295000,-0.010521,51.408518
BR35XT,410500,-0.018692,51.408755
BR35XU,372500,-0.019668,51.412459
BR35XY,312000,-0.005402,51.407522
BR35XZ,330000,-0.023497,51.411381
BR35YB,356000,-0.014565,51.406491
BR36AB,362500,-0.013977,51.406076
BR36AD,610000,-0.016484,51.403969
BR36LN,545000,-0.022238,51.405298
BR36LQ,270000,-0.021551,51.405827
BR36NA,540000,-0.018598,51.403025
BR36NJ,399333.33,-0.017684,51.403819
BR36PJ,325000,-0.012189,51.404526
BR36PP,284250,-0.014957,51.405041
BR36PY,255000,-0.015218,51.402653
BR36PZ,522500,-0.016467,51.403034
BR36QH,245500,-0.018541,51.400614
BR36QJ,572500,-0.018072,51.40182
BR36QN,191612.5,-0.017562,51.40031
BR36QW,400000,-0.017647,51.400005
BR36RQ,320000,-0.019777,51.403629
BR36SP,305000,-0.001152,51.392864
BR36TF,305000,-0.021137,51.405766
BR36TS,368000,-0.020763,51.405759
BR36TT,610000,-0.020715,51.402215
BR36UL,132000,-0.016578,51.406453
BR40EL,175000,-0.013934,51.380509
BR40LE,355000,-0.023647,51.377211
BR40LQ,310000,-0.024801,51.377815
BR40LY,212500,-0.014754,51.375181
BR40QD,162000,-0.026166,51.377784
BR40QT,112000,-0.016071,51.381274
BR49AA,224000,-0.006913,51.376082
BR49BJ,197000,-0.001466,51.371484
BR49BN,105000,-0.000801,51.371239
BR49FB,377500,-0.019445,51.375018
BR49HP,137250,-0.000136,51.370679
BR49HU,280000,0.0016,51.369633
BR49HX,300000,0.003563,51.369833
BR49PG,190000,-0.024867,51.375586
BR49PL,294000,-0.024479,51.376919
BR49PU,283000,-0.021082,51.376376
BR49PZ,380000,-0.025156,51.376553
BR49QP,95000,0.002618,51.374517
BR51AF,312500,0.062611,51.385158
BR51BU,260000,0.071115,51.390151
BR51DE,266500,0.072275,51.389735
BR51DF,237500,0.072908,51.389113
BR51DL,281250,0.073467,51.383986
BR51DT,297500,0.073231,51.385123
BR51DX,283000,0.073803,51.386021
BR51DY,311000,0.07456,51.385279
BR51FF,455246.25,0.0755,51.3735
BR51LY,320000,0.07555,51.389695
BR51RH,220000,0.095604,51.39102
BR52AN,268000,0.099187,51.387332
BR52AT,240000,0.101044,51.388018
BR52AU,186000,0.101961,51.387633
BR52AX,240000,0.101628,51.387908
BR52EG,257000,0.105433,51.392516
BR52HY,214000,0.098598,51.392684
BR52JT,182500,0.106605,51.401434
BR52NF,172500,0.105579,51.396327
BR52PS,196000,0.104095,51.402837
BR52QD,180000,0.097537,51.400275
BR52QE,187000,0.098848,51.400333
BR53BA,240000,0.108848,51.400189
BR53BG,210000,0.106688,51.40825
BR53BU,267250,0.109578,51.405446
BR53ER,210000,0.115813,51.396916
BR53FJ,136500,0.115989,51.392623
BR53FL,277500,0.115458,51.392327
BR53FN,270500,0.115591,51.39272
BR53FP,87500,0.116101,51.393188
BR53GD,115000,0.108453,51.406617
BR53HA,257500,0.11492,51.397508
BR53HF,196000,0.116401,51.401231
BR53JA,259000,0.125173,51.401908
BR53NH,97500,0.114739,51.392951
BR53NL,162500,0.115235,51.395281
BR53RD,84000,0.113331,51.393597
BR53WA,200000,0.117903,51.39704
BR53WD,168250,0.120951,51.396095
BR54AP,220000,0.114576,51.386605
BR54AX,214000,0.113997,51.388396
BR54EW,220000,0.115608,51.391524
BR54JL,240000,0.113063,51.381228
BR54JP,205000,0.112198,51.381162
BR54JW,152000,0.113168,51.381945
BR54LD,300000,0.11072,51.373401
BR54LY,223250,0.11172,51.37984
BR54LZ,197916.67,0.113211,51.38038
BR54QU,125000,0.122962,51.375878
BR60AT,342500,0.095509,51.373827
BR60BF,110000,0.095822,51.374388
BR60FD,216700,0.098145,51.375598
BR60FE,395000,0.1011,51.3754
BR60FG,376785.71,0.1041,51.3815
BR60GE,173250,0.104444,51.380367
BR60HD,120000,0.101442,51.379755
BR60HZ,265000,0.103564,51.381534
BR60JQ,281250,0.103066,51.380391
BR60LA,292500,0.104042,51.381003
BR60LF,235000,0.102761,51.379381
BR60ND,230000,0.098642,51.375093
BR60PF,299000,0.100194,51.376369
BR60QS,362000,0.100498,51.374205
BR60SD,324500,0.093342,51.372625
BR60SS,147375,0.096738,51.373679
BR60UQ,235750,0.103511,51.384466
BR60UR,225000,0.102575,51.384726
BR66ES,320000,0.102421,51.358478
BR66EZ,215500,0.105297,51.356349
BR66HD,307500,0.104063,51.35576
BR66LG,287500,0.095801,51.357266
BR66LH,228000,0.09755,51.356875
BR66LQ,170000,0.095951,51.35676
BR67AH,280000,0.060364,51.362634
BR67AS,260000,0.064313,51.361332
BR67BA,435000,0.069949,51.359218
BR67BT,350000,0.061979,51.361499
BR67BZ,337500,0.068574,51.360259
BR67DN,275000,0.074529,51.360441
BR67DQ,290000,0.067658,51.360329
BR67HB,277500,0.085415,51.356282
BR67LL,260833.33,0.075678,51.360124
BR67LZ,273000,0.111593,51.343969
BR67TP,285000,0.071654,51.360384
BR68AE,368000,0.08602,51.372441
BR68DT,321500,0.082627,51.379354
BR68LG,287566.67,0.063159,51.374644
BR68NB,270000,0.05762,51.36359
BR68NE,205333.33,0.057206,51.363966
BR68PR,183200,0.085961,51.374627
BR69AT,404000,0.112068,51.368979
BR69JL,250000,0.096202,51.370119
BR69JZ,293000,0.090192,51.362141
BR69QQ,330000,0.08642,51.367973
BR69TP,242500,0.090725,51.365019
BR69UF,250000,0.090591,51.365543
BR69UH,246500,0.092227,51.364245
BR69UR,275000,0.096881,51.373038
BR75BN,315000,0.066034,51.417741
BR75BU,375000,0.064711,51.417747
BR75EJ,900000,0.042043,51.420293
BR75FG,113875,0.055292,51.420664
BR75FP,338000,0.054084,51.420991
BR75FR,318500,0.053641,51.420091
BR75FS,320000,0.055251,51.419748
BR75FT,572250,0.0777,51.4093
BR75HF,387500,0.06052,51.410914
